GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
security,com.udacity.catpoint.service,SecurityService,0,257,0,33,0,67,0,38,0,21
security,com.udacity.catpoint.service,StyleService,11,0,0,0,2,0,2,0,2,0
security,com.udacity.catpoint.data,Sensor,45,50,3,3,14,14,10,5,7,5
security,com.udacity.catpoint.data,AlarmStatus,6,53,0,0,2,8,2,2,2,2
security,com.udacity.catpoint.data,ArmingStatus,6,53,0,0,2,8,2,2,2,2
security,com.udacity.catpoint.data,SensorType,0,21,0,0,0,2,0,1,0,1
security,com.udacity.catpoint.data,PretendDatabaseSecurityRepositoryImpl,129,0,2,0,31,0,11,0,10,0
security,com.udacity.catpoint.data,PretendDatabaseSecurityRepositoryImpl.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
security,com.udacity.catpoint.application,ControlPanel,102,0,2,0,21,0,8,0,7,0
security,com.udacity.catpoint.application,DisplayPanel,63,0,0,0,18,0,4,0,4,0
security,com.udacity.catpoint.application,CatpointApp,11,0,0,0,4,0,2,0,2,0
security,com.udacity.catpoint.application,CatpointGui,91,0,0,0,19,0,1,0,1,0
security,com.udacity.catpoint.application,SensorPanel,358,0,14,0,69,0,20,0,13,0
security,com.udacity.catpoint.application,ImagePanel,169,0,6,0,44,0,9,0,6,0
